Date,Description,Category,Income,Debits,Running Balance
01-01-2022,Starting Balance,Starting Balance,"$3,000.00",,"$3,000.00"
01-01-2022,Mortgage Payment,Mortgage,,"$1,100.00","$1,900.00"
01-02-2022,Tithing,Tithing/Charitable Giving,,$80.00,"$1,820.00"
01-03-2022,Paycheck 1,Income,"$1,000.00",,"$2,820.00"
01-03-2022,Transfer to savings,Transfer,,$846.00,"$1,974.00"
01-03-2022,Fantasy Cricket,fun,,$55.00,"$1,919.00"
01-04-2022,Paycheck 2,Income,"$1,000.00",,"$2,919.00"
01-05-2022,Paycheck 1,Income,"$1,000.00",,"$3,919.00"
01-05-2022,Tv,Household Bills(Wants),,$65.00,"$3,854.00"
01-06-2022,Paycheck 2,Income,"$1,000.00",,"$4,854.00"
01-07-2022,Paycheck 1,Income,"$1,000.00",,"$5,854.00"
01-07-2022,playing,Kid's Activities,,$300.05,"$5,553.95"
01-08-2022,Paycheck 2,Income,"$1,000.00",,"$6,553.95"
01-09-2022,Paycheck 1,Income,"$1,000.00",,"$7,553.95"
01-10-2022,Paycheck 2,Income,"$1,000.00",,"$8,553.95"
01-11-2022,Paycheck 1,Income,"$1,000.00",,"$9,553.95"
01-12-2022,Paycheck 2,Income,"$1,000.00",,"$10,553.95"
1/13/2022,Paycheck 1,Income,"$1,000.00",,"$11,553.95"
1/14/2022,Paycheck 2,Income,"$1,000.00",,"$12,553.95"
1/15/2022,Paycheck 1,Income,"$1,000.00",,"$13,553.95"
1/15/2022,Internet,Household Bills(Wants),,$55.00,"$13,498.95"
1/16/2022,Paycheck 2,Income,"$1,000.00",,"$14,498.95"
1/17/2022,Transfer to savings,Transfer,,$846.00,"$13,652.95"
1/18/2022,Student Loans,Student Loans,,$225.00,"$13,427.95"
1/28/2022,Credit Card(Groceries/Household),Groceries/Gas/Household Needs,,"$1,125.00","$12,302.95"
1/31/2022,Paycheck 1,Income,"$1,000.00",,"$13,302.95"
1/31/2022,Paycheck 2,Income,"$1,000.00",,"$14,302.95"
1/31/2022,Transfer to savings,Transfer,,$846.00,"$13,456.95"
02-01-2022,Mortgage Payment,Mortgage,,"$1,100.00","$12,356.95"
02-02-2022,Tithing,Tithing/Charitable Giving,,$80.00,"$12,276.95"
02-04-2022,Paycheck 1,Income,"$1,000.00",,"$13,276.95"
02-04-2022,Paycheck 2,Income,"$1,000.00",,"$14,276.95"
02-05-2022,Tv,Household Bills(Wants),,$65.00,"$14,211.95"
02-07-2022,playing,Kid's Activities,,$300.05,"$13,911.90"
02-08-2022,Paycheck 1,Income,"$1,000.00",,"$14,911.90"
02-08-2022,Paycheck 2,Income,"$1,000.00",,"$15,911.90"
02-12-2022,Paycheck 1,Income,"$1,000.00",,"$16,911.90"
02-12-2022,Paycheck 2,Income,"$1,000.00",,"$17,911.90"
2/14/2022,Transfer to savings,Transfer,,$846.00,"$17,065.90"
2/15/2022,Internet,Household Bills(Wants),,$55.00,"$17,010.90"
2/16/2022,Paycheck 1,Income,"$1,000.00",,"$18,010.90"
2/16/2022,Paycheck 2,Income,"$1,000.00",,"$19,010.90"
2/18/2022,Student Loans,Student Loans,,$225.00,"$18,785.90"
2/20/2022,Paycheck 1,Income,"$1,000.00",,"$19,785.90"
2/20/2022,Paycheck 2,Income,"$1,000.00",,"$20,785.90"
2/24/2022,Paycheck 1,Income,"$1,000.00",,"$21,785.90"
